patient_information.patient_gender -> person_information.gender_source_value
patient_information.internal_transfer_out_periods_number -> NA,NA
patient_information.patient_marital_status -> NA,NA
patient_information.birth_month -> person_information.month_of_birth
patient_information.patient_identifier -> person_information.person_source_value
patient_information.patient_identifier -> death_event.deceased_person_identifier
patient_information.patient_identifier -> person_information.person_identifier
patient_information.patient_identifier -> healthcare_institution.healthcare_institution_identifier
patient_information.patient_identifier -> person_information.healthcare_institution_identifier
patient_information.patient_identifier -> clinical_observation_period.person_identifier
patient_information.prescription_exemption_type -> NA,NA
patient_information.registration_gaps_days -> NA,NA
patient_information.registration_status -> NA,NA
patient_information.transfer_out_date -> clinical_observation_period.end_date
patient_information.transfer_out_reason -> NA,NA
patient_information.vamp_identifier -> NA,NA
patient_information.birth_year -> person_information.year_of_birth
patient_referral.referral_attendance_type -> NA,NA
patient_referral.consultation_identifier -> NA,NA
patient_referral.consultation_type -> medical_visit_detail.visit_detail_source_value
patient_referral.referral_event_date -> medical_visit_detail.medical_visit_detail_start_date
patient_referral.referral_event_date -> medical_visit_detail.medical_visit_detail_start_datetime
patient_referral.fhsa_speciality -> NA,NA
patient_referral.referral_type -> NA,NA
patient_referral.medical_code -> NA,NA
patient_referral.nhs_speciality -> NA,NA
patient_referral.patient_identifier -> NA,NA
patient_referral.snomed_description_id -> NA,NA
patient_referral.snomed_expression -> NA,NA
patient_referral.snomed_ct_concept_id -> NA,NA
patient_referral.snomed_is_assured -> NA,NA
patient_referral.snomed_is_indicative -> NA,NA
patient_referral.snomed_mapping_type -> NA,NA
patient_referral.snomed_mapping_version -> NA,NA
patient_referral.immunisation_source -> NA,NA
patient_referral.staff_identifier -> NA,NA
patient_referral.system_date -> NA,NA
patient_referral.referral_urgency -> NA,NA
practice_details.last_collection_date -> clinical_observation_period.end_date
practice_details.practice_identifier -> healthcare_institution.healthcare_institution_identifier
practice_details.practice_identifier -> healthcare_institution.healthcare_institution_source_value
practice_details.location_region -> healthcare_institution.geographic_location_identifier
practice_details.location_region -> geographic_location.geographic_location_identifier
practice_details.location_region -> geographic_location.location_source_value
practice_details.up_to_standard_date -> clinical_observation_period.start_date
prescription_details.bnf_code -> NA,NA
prescription_details.consultation_identifier -> NA,NA
prescription_details.dosage_identifier -> NA,NA
prescription_details.drug_mapped_dmd_code -> NA,NA
prescription_details.event_date -> medical_visit_detail.medical_visit_detail_start_date
prescription_details.event_date -> medical_visit_detail.medical_visit_detail_start_datetime
prescription_details.issue_sequence_number -> NA,NA
prescription_details.number_of_days -> NA,NA
prescription_details.number_of_packs -> NA,NA
prescription_details.pack_type -> NA,NA
prescription_details.patient_identifier -> NA,NA
prescription_details.prescribed_as_required -> NA,NA
prescription_details.product_code -> NA,NA
prescription_details.total_quantity -> NA,NA
prescription_details.staff_identifier -> NA,NA
prescription_details.system_date -> NA,NA
staff_information.staff_gender -> healthcare_provider.gender_source_value
staff_information.staff_gender -> healthcare_provider.gender_concept_id
staff_information.staff_role -> healthcare_provider.standard_specialty_concept_id
staff_information.staff_role -> healthcare_provider.specialty_source_value
staff_information.staff_identifier -> healthcare_provider.healthcare_institution_identifier
staff_information.staff_identifier -> healthcare_provider.provider_source_value
staff_information.staff_identifier -> healthcare_provider.provider_identifier
