Constraint Name	Child Column	Parent Column	Delete Rule
fpk_drug_provider	drug_exposure.provider_id	provider.provider_id	Restrict delete
fpk_drug_route_concept	drug_exposure.route_concept_id	concept.concept_id	Restrict delete
fpk_drug_strength_concept_1	drug_strength.drug_concept_id	concept.concept_id	Restrict delete
fpk_drug_strength_concept_2	drug_strength.ingredient_concept_id	concept.concept_id	Restrict delete
fpk_drug_strength_unit_1	drug_strength.amount_unit_concept_id	concept.concept_id	Restrict delete
fpk_drug_strength_unit_2	drug_strength.numerator_unit_concept_id	concept.concept_id	Restrict delete
fpk_drug_strength_unit_3	drug_strength.denominator_unit_concept_id	concept.concept_id	Restrict delete
fpk_drug_type_concept	drug_exposure.drug_type_concept_id	concept.concept_id	Restrict delete
fpk_drug_visit	drug_exposure.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_drug_visit_detail	drug_exposure.visit_detail_id	visit_detail.visit_detail_id	Restrict delete
fpk_fact_domain_1	fact_relationship.domain_concept_id_1	concept.concept_id	Restrict delete
fpk_fact_domain_2	fact_relationship.domain_concept_id_2	concept.concept_id	Restrict delete
fpk_fact_relationship	fact_relationship.relationship_concept_id	concept.concept_id	Restrict delete
fpk_language_concept	note.language_concept_id	concept.concept_id	Restrict delete
fpk_measurement_concept	measurement.measurement_concept_id	concept.concept_id	Restrict delete
fpk_measurement_concept_s	measurement.measurement_source_concept_id	concept.concept_id	Restrict delete
fpk_measurement_operator	measurement.operator_concept_id	concept.concept_id	Restrict delete
fpk_measurement_person	measurement.person_id	person.person_id	Restrict delete
fpk_measurement_provider	measurement.provider_id	provider.provider_id	Restrict delete
fpk_measurement_type_concept	measurement.measurement_type_concept_id	concept.concept_id	Restrict delete
fpk_measurement_unit	measurement.unit_concept_id	concept.concept_id	Restrict delete
fpk_measurement_value	measurement.value_as_concept_id	concept.concept_id	Restrict delete
fpk_measurement_visit	measurement.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_measurement_visit_detail	measurement.visit_detail_id	visit_detail.visit_detail_id	Restrict delete
fpk_note_class_concept	note.note_class_concept_id	concept.concept_id	Restrict delete
fpk_note_encoding_concept	note.encoding_concept_id	concept.concept_id	Restrict delete
fpk_note_nlp_concept	note_nlp.note_nlp_concept_id	concept.concept_id	Restrict delete
fpk_note_nlp_note	note_nlp.note_id	note.note_id	Restrict delete
fpk_note_nlp_section_concept	note_nlp.section_concept_id	concept.concept_id	Restrict delete
fpk_note_person	note.person_id	person.person_id	Restrict delete
fpk_note_provider	note.provider_id	provider.provider_id	Restrict delete
fpk_note_type_concept	note.note_type_concept_id	concept.concept_id	Restrict delete
fpk_note_visit	note.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_note_visit_detail	note.visit_detail_id	visit_detail.visit_detail_id	Restrict delete
fpk_observation_concept	observation.observation_concept_id	concept.concept_id	Restrict delete
fpk_observation_concept_s	observation.observation_source_concept_id	concept.concept_id	Restrict delete
fpk_observation_period_concept	observation_period.period_type_concept_id	concept.concept_id	Restrict delete
fpk_observation_period_person	observation_period.person_id	person.person_id	Restrict delete
fpk_observation_person	observation.person_id	person.person_id	Restrict delete
fpk_observation_provider	observation.provider_id	provider.provider_id	Restrict delete
fpk_observation_qualifier	observation.qualifier_concept_id	concept.concept_id	Restrict delete
fpk_observation_type_concept	observation.observation_type_concept_id	concept.concept_id	Restrict delete
fpk_observation_unit	observation.unit_concept_id	concept.concept_id	Restrict delete
fpk_observation_value	observation.value_as_concept_id	concept.concept_id	Restrict delete
fpk_observation_visit	observation.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_observation_visit_detail	observation.visit_detail_id	visit_detail.visit_detail_id	Restrict delete
fpk_payer_plan_period	payer_plan_period.person_id	person.person_id	Restrict delete
fpk_person_care_site	person.care_site_id	care_site.care_site_id	Restrict delete
fpk_person_ethnicity_concept	person.ethnicity_concept_id	concept.concept_id	Restrict delete
fpk_person_ethnicity_concept_s	person.ethnicity_source_concept_id	concept.concept_id	Restrict delete
fpk_person_gender_concept	person.gender_concept_id	concept.concept_id	Restrict delete
fpk_person_gender_concept_s	person.gender_source_concept_id	concept.concept_id	Restrict delete
fpk_person_location	person.location_id	location.location_id	Restrict delete
fpk_person_provider	person.provider_id	provider.provider_id	Restrict delete
fpk_person_race_concept	person.race_concept_id	concept.concept_id	Restrict delete
fpk_person_race_concept_s	person.race_source_concept_id	concept.concept_id	Restrict delete
fpk_procedure_concept	procedure_occurrence.procedure_concept_id	concept.concept_id	Restrict delete
fpk_procedure_concept_s	procedure_occurrence.procedure_source_concept_id	concept.concept_id	Restrict delete
fpk_procedure_modifier	procedure_occurrence.modifier_concept_id	concept.concept_id	Restrict delete
fpk_procedure_person	procedure_occurrence.person_id	person.person_id	Restrict delete
fpk_procedure_provider	procedure_occurrence.provider_id	provider.provider_id	Restrict delete
fpk_procedure_type_concept	procedure_occurrence.procedure_type_concept_id	concept.concept_id	Restrict delete
fpk_procedure_visit	procedure_occurrence.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_procedure_visit_detail	procedure_occurrence.visit_detail_id	visit_detail.visit_detail_id	Restrict delete
fpk_provider_care_site	provider.care_site_id	care_site.care_site_id	Restrict delete
fpk_provider_gender	provider.gender_concept_id	concept.concept_id	Restrict delete
fpk_provider_gender_s	provider.gender_source_concept_id	concept.concept_id	Restrict delete
fpk_provider_specialty	provider.specialty_concept_id	concept.concept_id	Restrict delete
fpk_provider_specialty_s	provider.specialty_source_concept_id	concept.concept_id	Restrict delete
fpk_relationship_concept	relationship.relationship_concept_id	concept.concept_id	Restrict delete
fpk_relationship_reverse	relationship.reverse_relationship_id	relationship.relationship_id	Restrict delete
fpk_source_to_concept_map_c_1	source_to_concept_map.target_concept_id	concept.concept_id	Restrict delete
fpk_source_to_concept_map_v_1	source_to_concept_map.source_vocabulary_id	vocabulary.vocabulary_id	Restrict delete
fpk_source_to_concept_map_v_2	source_to_concept_map.target_vocabulary_id	vocabulary.vocabulary_id	Restrict delete
fpk_specimen_concept	specimen.specimen_concept_id	concept.concept_id	Restrict delete
fpk_specimen_person	specimen.person_id	person.person_id	Restrict delete
fpk_specimen_site_concept	specimen.anatomic_site_concept_id	concept.concept_id	Restrict delete
fpk_specimen_status_concept	specimen.disease_status_concept_id	concept.concept_id	Restrict delete
fpk_specimen_type_concept	specimen.specimen_type_concept_id	concept.concept_id	Restrict delete
fpk_specimen_unit_concept	specimen.unit_concept_id	concept.concept_id	Restrict delete
fpk_visit_admitting_s	visit_occurrence.admitting_source_concept_id	concept.concept_id	Restrict delete
fpk_visit_care_site	visit_occurrence.care_site_id	care_site.care_site_id	Restrict delete
fpk_visit_concept	visit_occurrence.visit_concept_id	concept.concept_id	Restrict delete
fpk_visit_concept_s	visit_occurrence.visit_source_concept_id	concept.concept_id	Restrict delete
fpk_visit_cost_currency	cost.currency_concept_id	concept.concept_id	Restrict delete
fpk_visit_cost_period	cost.payer_plan_period_id	payer_plan_period.payer_plan_period_id	Restrict delete
fpk_visit_detail_concept	visit_detail.visit_detail_concept_id	concept.concept_id	Restrict delete
fpk_visit_detail_parent	visit_detail.visit_detail_parent_id	visit_detail.visit_detail_id	Restrict delete
fpk_visit_detail_person	visit_detail.person_id	person.person_id	Restrict delete
fpk_visit_discharge	visit_occurrence.discharge_to_concept_id	concept.concept_id	Restrict delete
fpk_visit_occurrence	visit_detail.visit_occurrence_id	visit_occurrence.visit_occurrence_id	Restrict delete
fpk_visit_person	visit_occurrence.person_id	person.person_id	Restrict delete
fpk_visit_provider	visit_occurrence.provider_id	provider.provider_id	Restrict delete
fpk_visit_type_concept	visit_occurrence.visit_type_concept_id	concept.concept_id	Restrict delete
fpk_vocabulary_concept	vocabulary.vocabulary_concept_id	concept.concept_id	Restrict delete
