Patient, patid, Person, person_id
Referral, NULL, VISIT_DETAIL, visit_detail_end_date
Referral, NULL, VISIT_DETAIL, visit_detail_end_datetime
Referral, NULL, VISIT_DETAIL, visit_detail_id
Referral, NULL, VISIT_DETAIL, visit_detail_parent_id
Referral, constype, VISIT_DETAIL, visit_detail_source_value
Referral, NULL, VISIT_DETAIL, visit_detail_source_concept_id
Referral, NULL, VISIT_DETAIL, visit_occurrence_id
Referral, staffid, VISIT_DETAIL, provider_id
Referral, patid, VISIT_DETAIL, care_site_id
Referral, NULL, VISIT_DETAIL, admitting_source_concept_id
Referral, NULL, VISIT_DETAIL, admitting_source_value
Referral, NULL, VISIT_DETAIL, discharge_to_concept_id
Referral, NULL, VISIT_DETAIL, discharge_to_source_value
Test, patid, VISIT_DETAIL, person_id
Test, eventdate, VISIT_DETAIL, visit_detail_start_date
Test, eventdate, VISIT_DETAIL, visit_detail_start_datetime
Test, NULL, VISIT_DETAIL, visit_detail_end_date
Test, NULL, VISIT_DETAIL, visit_detail_end_datetime
Test, NULL, VISIT_DETAIL, visit_detail_id
Test, NULL, VISIT_DETAIL, visit_detail_parent_id
Test, constype, VISIT_DETAIL, visit_detail_source_value
Test, NULL, VISIT_DETAIL, visit_detail_source_concept_id
Test, NULL, VISIT_DETAIL, visit_occurrence_id
Test, staffid, VISIT_DETAIL, provider_id
Test, patid, VISIT_DETAIL, care_site_id
Test, NULL, VISIT_DETAIL, admitting_source_concept_id
Test, NULL, VISIT_DETAIL, admitting_source_value
Test, NULL, VISIT_DETAIL, discharge_to_concept_id
Test, NULL, VISIT_DETAIL, discharge_to_source_value
Therapy, patid, VISIT_DETAIL, person_id
Therapy, eventdate, VISIT_DETAIL, visit_detail_start_date
Therapy, eventdate, VISIT_DETAIL, visit_detail_start_datetime
Therapy, NULL, VISIT_DETAIL, visit_detail_end_date
Therapy, NULL, VISIT_DETAIL, visit_detail_end_datetime
Therapy, NULL, VISIT_DETAIL, visit_detail_id
Therapy, NULL, VISIT_DETAIL, visit_detail_parent_id
Therapy, constype, VISIT_DETAIL, visit_detail_source_value
Therapy, NULL, VISIT_DETAIL, visit_detail_source_concept_id
Therapy, NULL, VISIT_DETAIL, visit_occurrence_id
Therapy, staffid, VISIT_DETAIL, provider_id
Therapy, patid, VISIT_DETAIL, care_site_id
Therapy, NULL, VISIT_DETAIL, admitting_source_concept_id
Therapy, NULL, VISIT_DETAIL, admitting_source_value
Therapy, NULL, VISIT_DETAIL, discharge_to_concept_id
Therapy, NULL, VISIT_DETAIL, discharge_to_source_value
Patient, Patid, DEATH, PERSON_ID
Patient, Deathdate, DEATH, DEATH_DATE
Patient, Deathdate, DEATH, DEATH_DATETIME
